Band Name - Unclean,Venue - Unclean,Concert Date,Openers
Larry Fleet,the House of Blues,04/04/2024,Austin Williams
Christian Kuria,Brighton Music Hall,04/04/2024,
JJ Grey & Mofro: Olustee Tour,the House of Blues,04/05/2024,Judith Hill
CMAT,Brighton Music Hall,04/05/2024,
Satch Vai Us Tour: Joe Satriani & Steve Vai,Orpheum Theatre presented by Citizens,04/05/2024,Steve Vai
Hail The Sun & Intervals: Spring 2024,Paradise Rock Club,04/06/2024,Intervals
Mariah the Scientist - To Be Eaten Alive Tour,the House of Blues,04/06/2024,
Destroyer (Solo),Brighton Music Hall,04/06/2024,Lightning Dust
Slander ( 21+ ),Big Night Live,04/06/2024,
Kiltro (18+),Brighton Music Hall,04/07/2024,Nina de Freitas
The 69 Eyes (18+),Brighton Music Hall,04/08/2024,"The Bites, Budderside"
Busta Rhymes - BLOCKBUSTA TOUR 2024,the House of Blues,04/09/2024,
Korpiklaani (18+),Brighton Music Hall,04/10/2024,"Visions of Atlantis, ILLUMISHADE"
Giant Rooks,Big Night Live,04/11/2024,
LANY - a beautiful blur: the world tour 2024,MGM Music Hall,04/11/2024,
Tophouse,The Red Room at Cafe 939,04/12/2024,
Scary Pockets,Big Night Live,04/12/2024,
"COLORS Worldwide Presents: R&B ONLY LIVE (Boston, MA)",MGM Music Hall,04/12/2024,
Keller Williams (18+),Paradise Rock Club,04/12/2024,
Caetano Veloso - Meu Coco,Orpheum Theatre presented by Citizens,04/13/2024,
Shayfer James,Brighton Music Hall,04/14/2024,
Kublai Khan TX,Paradise Rock Club,04/18/2024,"Sunami, Judiciary, Momentum"
Brothers Osborne: Might As Well Be Us Tour,MGM Music Hall,04/18/2024,Jackson Dean
Matt Rife: ProbleMATTic World Tour (18+),MGM Music Hall,04/19/2024,
Drop Nineteens (18+),Paradise Rock Club,04/19/2024,Greg Mendez
Matt Rife: ProbleMATTic World Tour (18+),MGM Music Hall,04/20/2024,
Ibrahim Maalouf (18+),Paradise Rock Club,04/20/2024,
Taylor Acorn: Good Enough Tour,Brighton Music Hall,04/20/2024,
Matt Rife: ProbleMATTic World Tour (18+),MGM Music Hall,04/21/2024,
Arm's Length,Brighton Music Hall,04/21/2024,"Carly Cosgrove, Ben Quad, saturdays at your place"
Israel & NewBreed x Friends,the House of Blues,04/21/2024,
Steve Mason (of The Beta Band) (18+),Brighton Music Hall,04/22/2024,
AJ Rafael,Brighton Music Hall,04/23/2024,Nieman
Augustana: Something Beautiful Tour,Brighton Music Hall,04/24/2024,
Jacob Collier - DJESSE VOL. 4 NORTH AMERICA TOUR,MGM Music Hall,04/24/2024,Kimbra
Aterciopelados,Big Night Live,04/25/2024,
Judas Priest,MGM Music Hall,04/25/2024,Sabaton
Umphrey's McGee: UMBowl,the House of Blues,04/26/2024,
Moontricks (18+),Brighton Music Hall,04/26/2024,
Priscilla Block (18+),Paradise Rock Club,04/26/2024,Ryan Larkins
Umphrey's McGee: UMBowl,the House of Blues,04/27/2024,
Belle & Sebastian,Orpheum Theatre presented by Citizens,04/27/2024,The Weather Station
Games We Play: Lifes Going Great Tour,Brighton Music Hall,05/01/2024,"House Parties, Zoe Ko"
BoyWithUke - Lucid Dreams Tour,the House of Blues,05/01/2024,
Teezo Touchdown,Paradise Rock Club,05/02/2024,
Sam Outlaw (18+),Brighton Music Hall,05/02/2024,
TWRP Digital Nightmare 2024 Tour  (18+),Paradise Rock Club,05/04/2024,"Trey Magnifique, nelward"
Architects - Seeing Red Tour,the House of Blues,05/06/2024,"Of Mice and Men, While She Sleeps"
Bad Religion and Social Distortion,MGM Music Hall,05/07/2024,Social Distortion
Black Veil Brides: BLEEDERS Tour 2024,the House of Blues,05/08/2024,"Dark Divine, Ghøstkid, Creeper"
Cheekface,Brighton Music Hall,05/09/2024,Yungatita
HOLLY HUMBERSTONE - The Holly Humberstone Show,Paradise Rock Club,05/09/2024,
Madison Beer - Spinnin Tour,MGM Music Hall,05/11/2024,Charlotte Lawrence
Say Anything - Is A Real Boy 20th Anniversary Tour,MGM Music Hall,05/12/2024,
Swans,Paradise Rock Club,05/14/2024,Kristof Hahn
Starset - Immersion: The Final Chapter,Big Night Live,05/14/2024,
Cooper Alan 2024 Spring Tour (18+),Paradise Rock Club,05/16/2024,
Soen (18+),Brighton Music Hall,05/17/2024,
Electric Callboy - North America Tour 2024,MGM Music Hall,05/19/2024,
ECHO & THE BUNNYMEN: Songs To Learn And Sing,the House of Blues,05/20/2024,
Tyla,Paradise Rock Club,05/20/2024,
SiM: PLAYDEAD World Tour,Paradise Rock Club,05/24/2024,"Fame On Fire, Within Destruction"
Smash Into Pieces Manifest Tour,Brighton Music Hall,05/31/2024,Versus Me
Jo Dee Messina: Heads Carolina Tails California Tour,the House of Blues,06/02/2024,
G Flip,Paradise Rock Club,06/04/2024,
Dr. Jordan B. Peterson: We Who Wrestle with God Tour,MGM Music Hall,06/05/2024,
Social House,Brighton Music Hall,06/08/2024,Haven
Bakar,Paradise Rock Club,06/09/2024,
Hollow Coves (18+),Paradise Rock Club,06/10/2024,Billianne
Bleachers,MGM Music Hall,06/10/2024,Samia
Siwa Presents XOMG POP! LIVE,Big Night Live,06/14/2024,
Bonnie Raitt: Just Like That... Tour 2024,MGM Music Hall,06/15/2024,
Bonnie Raitt Merchandise VIP Upgrade,MGM Music Hall,06/15/2024,
Los Campesinos!,Paradise Rock Club,06/16/2024,
The Saw Doctors,MGM Music Hall,07/12/2024,
The Saw Doctors,MGM Music Hall,07/13/2024,
Bill Maher: The WTF? Tour,MGM Music Hall,07/26/2024,
TATE MCRAE: THINK LATER TOUR ,MGM Music Hall,08/09/2024,Presley Regier
TATE MCRAE: THINK LATER TOUR ,MGM Music Hall,08/10/2024,Presley Regier
Taking Back Sunday,MGM Music Hall,08/14/2024,Citizen
Peter Hook & The Light - North American Tour 2024,Paradise Rock Club,09/03/2024,
Keane,MGM Music Hall,09/23/2024,
Willow Pill presents God's Child (18+),Paradise Rock Club,09/27/2024,
Iann Dior: Leave Me Where You Found Me Tour,Big Night Live,08/29/2025,44phantom
